id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,mI2jgbS0
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,qE0VpMik
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,hS0THqHl
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,yH62BcJH
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,pC7OCEK6
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,yI99BRrX
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,jQ82h835
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,yN8hPlFd
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,kV0bG5Tp
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,mC1nemFd
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,zV0CLiey
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,kU14gKnY
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,gF7CPYTI
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,zW1YmWTk
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,mK9YCrcd
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,eC5po2Ua
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,jA5JThFS
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,dW3J3fvs
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,eJ02f2Jr
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,hO5FS6cJ
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,wV2p4QyQ
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,eJ3JVeAF
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,hU7Pz7F7
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,jV8f36AH
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,xL4Y2oN3
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,xE21jTIR
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,eX8k6XVS
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,aY4qCgE5
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,fL7daSH8
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,eB2yxyio
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,pK6YfAw4
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,xX2oj1VA
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,vS5JICx5
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,rU9XzNp3
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,eW6RetTe
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,nO5aTZVy
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,iM8cKPOS
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,fR8xBhdg
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,xM29DIt1
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,bJ4cUJhG
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,cU5cd8lP
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,gM5YJ3F9
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,xW8iskiH
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,fX2T3wvS
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,eB7Hf4KP
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,fU4gjV0V
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,aP5gZzvw
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,eN8ERk3W
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,kV3hY9N3
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,gA4Zy7aR
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,mB4nak2F
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,yM2GafUa
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,tV6Ffs9H
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,pM3YPxz8
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,zS77ap5U
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,tH2fWlZa
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,cU9sNX5t
